,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
0,1,1,1,39.0,1:27.452,218.3,Hamilton,Finished,2008,Australian Grand Prix,McLaren
1,5,3,5,43.0,1:27.418,218.385,Kovalainen,Finished,2008,Australian Grand Prix,McLaren
2,27,9,5,53.0,1:35.462,209.033,Hamilton,Finished,2008,Malaysian Grand Prix,McLaren
3,25,8,3,19.0,1:35.922,208.031,Kovalainen,Finished,2008,Malaysian Grand Prix,McLaren
4,69,5,3,20.0,1:22.017,204.323,Hamilton,Finished,2008,Spanish Grand Prix,McLaren
5,90,3,2,31.0,1:26.529,222.085,Hamilton,Finished,2008,Turkish Grand Prix,McLaren
6,109,3,1,71.0,1:18.510,153.152,Hamilton,Finished,2008,Monaco Grand Prix,McLaren
7,116,4,8,74.0,1:17.282,155.586,Kovalainen,Finished,2008,Monaco Grand Prix,McLaren
8,158,13,10,40.0,1:17.453,205.022,Hamilton,Finished,2008,French Grand Prix,McLaren
9,152,10,4,46.0,1:17.134,205.87,Kovalainen,Finished,2008,French Grand Prix,McLaren
10,169,4,1,16.0,1:32.817,199.398,Hamilton,Finished,2008,British Grand Prix,McLaren
11,189,1,1,17.0,1:16.039,216.552,Hamilton,Finished,2008,German Grand Prix,McLaren
12,193,3,5,63.0,1:16.495,215.261,Kovalainen,Finished,2008,German Grand Prix,McLaren
13,213,1,5,15.0,1:21.493,193.533,Hamilton,Finished,2008,Hungarian Grand Prix,McLaren
14,209,2,1,19.0,1:21.753,192.917,Kovalainen,Finished,2008,Hungarian Grand Prix,McLaren
15,230,2,2,16.0,1:38.884,197.285,Hamilton,Finished,2008,European Grand Prix,McLaren
16,232,5,4,19.0,1:39.112,196.831,Kovalainen,Finished,2008,European Grand Prix,McLaren
17,251,1,3,20.0,1:48.135,233.175,Hamilton,Finished,2008,Belgian Grand Prix,McLaren
18,275,15,7,52.0,1:29.721,232.44,Hamilton,Finished,2008,Italian Grand Prix,McLaren
19,270,2,2,53.0,1:30.300,230.95,Kovalainen,Finished,2008,Italian Grand Prix,McLaren
20,291,2,3,14.0,1:46.072,171.969,Hamilton,Finished,2008,Singapore Grand Prix,McLaren
21,298,5,10,14.0,1:47.337,169.943,Kovalainen,Finished,2008,Singapore Grand Prix,McLaren
22,320,1,12,65.0,1:19.560,206.47,Hamilton,Finished,2008,Japanese Grand Prix,McLaren
23,329,1,1,13.0,1:36.325,203.722,Hamilton,Finished,2008,Chinese Grand Prix,McLaren
24,353,4,5,31.0,1:14.159,209.177,Hamilton,Finished,2008,Brazilian Grand Prix,McLaren
25,355,5,7,36.0,1:14.207,209.042,Kovalainen,Finished,2008,Brazilian Grand Prix,McLaren
26,371,4,3,20.0,1:26.351,221.083,Hamilton,Finished,2007,Australian Grand Prix,McLaren
27,370,2,2,20.0,1:26.314,221.178,Alonso,Finished,2007,Australian Grand Prix,McLaren
28,392,4,2,22.0,1:36.701,206.355,Hamilton,Finished,2007,Malaysian Grand Prix,McLaren
